NAME,STUSPS,INTPTLAT,INTPTLON
Cuming,NE,+41.9158651,-096.7885168
Wahkiakum,WA,+46.2946377,-123.4244583
De Baca,NM,+34.3592729,-104.3686961
Lancaster,NE,+40.7835474,-096.6886584
Nuckolls,NE,+40.1764918,-098.0468422
Las Piedras,PR,+18.1871483,-065.8711890
Minnehaha,SD,+43.6674723,-096.7957261
Menard,TX,+30.8852677,-099.8588613
Sierra,CA,+39.5769252,-120.5219926
Clinton,KY,+36.7272577,-085.1360977
Hancock,OH,+41.0002170,-083.6659471
Hale,TX,+34.0684364,-101.8228879
Clay,AL,+33.2703999,-085.8635254
Armstrong,TX,+34.9641790,-101.3566363
Allen,OH,+40.7716274,-084.1061032
McDuffie,GA,+33.4806102,-082.4795718
Sauk,WI,+43.4280010,-089.9433184
Stone,AR,+35.8570011,-092.1404819
Wallowa,OR,+45.5937530,-117.1855796
Beaver,PA,+40.6841401,-080.3507209
Jasper,MS,+32.0167482,-089.1191761
Henry,MO,+38.3864909,-093.7926278
Saguache,CO,+38.0316514,-106.2346662
Chatham,NC,+35.7049939,-079.2514542
Rich,UT,+41.6275976,-111.2402269
Adair,OK,+35.8980428,-094.6510258
Lake,OH,+41.7781416,-081.1973297
Salem,VA,+37.2853329,-080.0552407
Montgomery,VA,+37.1755376,-080.3877942
Hamilton,TN,+35.1634720,-085.2018432
Otero,NM,+32.6155988,-105.7513079
Catron,NM,+33.9016208,-108.3919284
Marengo,AL,+32.2475911,-087.7910910
Lincoln,WY,+42.2299932,-110.6829614
Barton,MO,+37.5007989,-094.3440893
Calhoun,TX,+28.4417191,-096.5795739
Poquoson,VA,+37.1283599,-076.3035337
Pocahontas,WV,+38.3326060,-080.0101207
Clay,TX,+33.7859042,-098.2129174
James City,VA,+37.3248367,-076.7778878
Keith,NE,+41.1942448,-101.6444493
Phelps,NE,+40.5163647,-099.4065568
Calcasieu,LA,+30.2295588,-093.3580154
Union,LA,+32.8293486,-092.3756501
Sequoyah,OK,+35.5024345,-094.7507569
DeKalb,AL,+34.4609148,-085.8040207
Steuben,NY,+42.2667252,-077.3855253
Forest,PA,+41.5133040,-079.2497050
Tangipahoa,LA,+30.6213483,-090.4064899
Stafford,VA,+38.4230836,-077.4580475
Menominee,MI,+45.5355685,-087.5014573
Jasper,IN,+41.0176883,-087.1188137
Brantley,GA,+31.1973339,-081.9829779
Lamar,GA,+33.0744405,-084.1466893
Steuben,IN,+41.6434670,-085.0024051
Orange,TX,+30.1223229,-093.8940999
